timestamp,open,high,low,close,volume,turnover,price_change_pct,volume_ma20,volume_ratio,high_low_range_pct,roc_5,roc_10,volume_change,cumulative_change_pct
2026-01-07 14:00:00,0.016263,0.016364,0.015968,0.016332,38773152.0,626311.892805,0.42,,,2.48,,,,0.0
2026-01-07 15:00:00,0.016332,0.016338,0.015992,0.016034,26039494.0,419519.782186,-1.82,,,2.16,,,-0.33,-1.82
2026-01-07 16:00:00,0.016034,0.016164,0.015956,0.016143,8288627.0,133145.765433,0.68,,,1.3,,,-0.68,-1.16
2026-01-07 17:00:00,0.016143,0.016286,0.016124,0.01616,5334875.0,86466.892369,0.11,,,1.0,,,-0.36,-1.05
2026-01-07 18:00:00,0.01616,0.016262,0.016091,0.01615,7009836.0,113346.594216,-0.06,,,1.06,,,0.31,-1.11
2026-01-07 19:00:00,0.01615,0.016217,0.016011,0.016131,8390519.0,135072.962006,-0.12,,,1.29,-1.23,,0.2,-1.23
2026-01-07 20:00:00,0.016131,0.016157,0.016027,0.016069,4004169.0,64355.44558,-0.38,,,0.81,0.22,,-0.52,-1.61
2026-01-07 21:00:00,0.016069,0.016158,0.016047,0.016122,3051753.0,49131.896539,0.33,,,0.69,-0.13,,-0.24,-1.29
2026-01-07 22:00:00,0.016122,0.016278,0.016081,0.016129,4554918.0,73673.822403,0.04,,,1.23,-0.19,,0.49,-1.24
2026-01-07 23:00:00,0.016129,0.016291,0.015993,0.016272,6885202.0,110986.490946,0.89,,,1.86,0.76,,0.51,-0.37
2026-01-08 00:00:00,0.016272,0.01631,0.016162,0.016298,5788908.0,94034.253712,0.16,,,0.92,1.04,-0.21,-0.16,-0.21
2026-01-08 01:00:00,0.016298,0.017011,0.016298,0.016793,39378492.0,660295.002784,3.04,,,4.37,4.51,4.73,5.8,2.82
2026-01-08 02:00:00,0.016793,0.017062,0.016529,0.016557,43377921.0,724573.536935,-1.41,,,3.22,2.7,2.56,0.1,1.38
2026-01-08 03:00:00,0.016557,0.016679,0.016365,0.016534,21354186.0,352986.305896,-0.14,,,1.92,2.51,2.31,-0.51,1.24
2026-01-08 04:00:00,0.016534,0.016589,0.016392,0.01658,8571076.0,141411.920957,0.28,,,1.2,1.89,2.66,-0.6,1.52
2026-01-08 05:00:00,0.01658,0.016733,0.016445,0.016483,10039695.0,166769.256977,-0.59,,,1.75,1.14,2.18,0.17,0.92
2026-01-08 06:00:00,0.016483,0.016506,0.016106,0.016143,24712469.0,401974.128115,-2.06,,,2.48,-3.87,0.46,1.46,-1.16
2026-01-08 07:00:00,0.016143,0.016271,0.015992,0.016262,14909628.0,240393.844752,0.74,,,1.74,-1.78,0.87,-0.4,-0.43
2026-01-08 08:00:00,0.016262,0.016325,0.015948,0.016004,12612194.0,202440.34837,-1.59,,,2.36,-3.21,-0.78,-0.15,-2.01
2026-01-08 09:00:00,0.016004,0.016125,0.015867,0.015902,15056681.0,240878.822141,-0.64,15406689.75,0.98,1.63,-4.09,-2.27,0.19,-2.63
2026-01-08 10:00:00,0.015902,0.016067,0.015776,0.016017,9675503.0,154115.542721,0.72,13951807.3,0.69,1.84,-2.83,-1.72,-0.36,-1.93
2026-01-08 11:00:00,0.016017,0.016029,0.015803,0.015973,12153821.0,193037.13434,-0.27,13257523.65,0.92,1.43,-1.05,-4.88,0.26,-2.2
2026-01-08 12:00:00,0.015973,0.016001,0.015761,0.015819,7197361.0,114238.797467,-0.96,13202960.35,0.55,1.52,-2.72,-4.46,-0.41,-3.14
2026-01-08 13:00:00,0.015819,0.01588,0.015736,0.015823,10718135.0,169325.34507,0.03,13472123.35,0.8,0.92,-1.13,-4.3,0.49,-3.12
2026-01-08 14:00:00,0.015823,0.015923,0.015623,0.015873,17893043.0,282006.785001,0.32,14016283.7,1.28,1.92,-0.18,-4.26,0.67,-2.81
2026-01-08 15:00:00,0.015873,0.016109,0.015809,0.0161,12310134.0,196752.053414,1.43,14212264.45,0.87,1.9,0.52,-2.32,-0.31,-1.42
2026-01-08 16:00:00,0.0161,0.01615,0.015995,0.016134,6730351.0,108233.13826,0.21,14348573.55,0.47,0.97,1.01,-0.06,-0.45,-1.21
2026-01-08 17:00:00,0.016134,0.016167,0.016027,0.016093,7375505.0,118769.631757,-0.25,14564761.15,0.51,0.87,1.73,-1.04,0.1,-1.46
2026-01-08 18:00:00,0.016093,0.016143,0.01604,0.016043,6388477.0,102778.104274,-0.31,14656439.1,0.44,0.64,1.39,0.24,-0.13,-1.77
2026-01-08 19:00:00,0.016043,0.016124,0.015969,0.016011,5413348.0,86804.437433,-0.2,14582846.4,0.37,0.97,0.87,0.69,-0.15,-1.97
2026-01-08 20:00:00,0.016011,0.016046,0.015888,0.016025,3321440.0,53012.523568,0.09,14459473.0,0.23,0.99,-0.47,0.05,-0.39,-1.88
2026-01-08 21:00:00,0.016025,0.016175,0.016025,0.016161,2115460.0,34055.969375,0.85,12596321.4,0.17,0.94,0.17,1.18,-0.36,-1.05
2026-01-08 22:00:00,0.016161,0.016214,0.016031,0.016204,3304801.0,53392.263615,0.27,10592665.4,0.31,1.14,0.69,2.43,0.56,-0.78
2026-01-08 23:00:00,0.016204,0.016225,0.016122,0.016187,5463647.0,88347.723467,-0.1,9798138.45,0.56,0.64,0.9,2.3,0.65,-0.89
2026-01-09 00:00:00,0.016187,0.016898,0.016152,0.01626,66036838.0,1088341.321549,0.45,12671426.55,5.21,4.62,1.56,2.44,11.09,-0.44
2026-01-09 01:00:00,0.01626,0.016296,0.015954,0.016004,23573254.0,380494.62276,-1.57,13348104.5,1.77,2.14,-0.13,-0.6,-0.64,-2.01
2026-01-09 02:00:00,0.016004,0.01619,0.015998,0.016111,20296426.0,326689.764518,0.67,13127302.35,1.55,1.2,-0.31,-0.14,-0.14,-1.35
2026-01-09 03:00:00,0.016111,0.016486,0.016092,0.016448,10210333.0,166449.191917,2.09,12892337.6,0.79,2.45,1.51,2.21,-0.5,0.71
2026-01-09 04:00:00,0.016448,0.017026,0.016444,0.016956,44834590.0,753739.281471,3.09,14503457.4,3.09,3.54,4.75,5.69,3.39,3.82
2026-01-09 05:00:00,0.016956,0.017519,0.016723,0.017077,95389657.0,1631124.3282,0.71,18520106.2,5.15,4.76,5.02,6.66,1.13,4.56
2026-01-09 06:00:00,0.017077,0.017281,0.016938,0.017106,32969224.0,563067.155481,0.17,19684792.25,1.67,2.03,6.89,6.75,-0.65,4.74
2026-01-09 07:00:00,0.017106,0.017337,0.017047,0.017141,21776850.0,374389.359928,0.2,20165943.7,1.08,1.7,6.39,6.06,-0.34,4.95
2026-01-09 08:00:00,0.017141,0.017221,0.016711,0.016965,36736204.0,623819.699577,-1.03,21642885.85,1.7,3.05,3.14,4.7,0.69,3.88
